Book Name,Book Author,Price,URL
Voyages du Capitaine Lemuel Gulliver,J. Swift,"£1,050.00",https://rareandantiquebooks.com/first-edition-books/swift/
Dylan Thomas,Henry Treece,£80.00,https://rareandantiquebooks.com/first-edition-books/treece/
The Asphalt Jungle,W. R. Burnett,£195.00,https://rareandantiquebooks.com/first-edition-books/the-asphalt-jungle-by-w-r-burnett/
An Expensive Place To Die,Len Deighton,£145.00,https://rareandantiquebooks.com/first-edition-books/expensive/
Funeral in Berlin,Len Deighton,£120.00,https://rareandantiquebooks.com/first-edition-books/berlin-deighton/
The Bulpington of Blurp,H G Wells,£75.00,https://rareandantiquebooks.com/first-edition-books/blurpington-wells/
Billion Dollar Brain,Len Deighton,£95.00,https://rareandantiquebooks.com/first-edition-books/billion-deighton/
Sylvie and Bruno pair,L. Carroll,£345.00,https://rareandantiquebooks.com/first-edition-books/sylvie-carroll/
Lady Susan,Jane Austen,£95.00,https://rareandantiquebooks.com/first-edition-books/susan-austin/
US edition Alice’s Adventures,Lewis Carroll,"£1,550.00",https://rareandantiquebooks.com/first-edition-books/adventures-carroll/
Ayesha,H. Rider Haggard,£90.00,https://rareandantiquebooks.com/first-edition-books/ayeshar-haggard/
The Historical Romances,Conan Doyle,£380.00,https://rareandantiquebooks.com/first-edition-books/historical-2/
The Celestial Omnibus,E. M. Forster,£230.00,https://rareandantiquebooks.com/first-edition-books/omnibus-forster/
Relativity,Einstein,"£1,150.00",https://rareandantiquebooks.com/first-edition-books/relativity-einstein/
A Room of One’s Own,V. Woolf,"£2,800.00",https://rareandantiquebooks.com/first-edition-books/own-woolf/
Bohemia in London,Arthur Ransome,£750.00,https://rareandantiquebooks.com/first-edition-books/bohemia-ransome/
On the Origin of Species,C. Darwin,"£2,650.00",https://rareandantiquebooks.com/first-edition-books/species-darwin/
A Study in Scarlet,A. C. Doyle,£900.00,https://rareandantiquebooks.com/first-edition-books/scarlet-doyle/
For Your Eyes Only,Ian Fleming,£480.00,https://rareandantiquebooks.com/first-edition-books/eyes-fleming/
The Story of Miss Moppet,B. Potter,£695.00,https://rareandantiquebooks.com/first-edition-books/moppet-potter/
An Ideal Husband,Oscar Wilde,"£1,250.00",https://rareandantiquebooks.com/first-edition-books/ideal-husband-wilde/
Metropolis,Thea Von Harbou,"£3,800.00",https://rareandantiquebooks.com/first-edition-books/metropolis/
The Formation of Vegetable Mould,Charles Darwin,£880.00,https://rareandantiquebooks.com/first-edition-books/vegetable-darwin/
Unto This Last,John Ruskin,£120.00,https://rareandantiquebooks.com/first-edition-books/last-john-ruskin/
An Almanac of Twelve Sports,Kipling,£750.00,https://rareandantiquebooks.com/first-edition-books/almanac-kipling/
The Defense of Poesie,"Sidney, Knight",£90.00,https://rareandantiquebooks.com/first-edition-books/knight/
The Doctor and the Devils,Dylan Thomas,£85.00,https://rareandantiquebooks.com/first-edition-books/doctor-thomas/
Around the World,Jules Verne,"£4,050.00",https://rareandantiquebooks.com/first-edition-books/around-world/
Le Avventure d’Alice Nel Paese Delle Meraviglie,Carroll,"£1,550.00",https://rareandantiquebooks.com/first-edition-books/avventure/
The Return of the Native,Thomas Hardy,£440.00,https://rareandantiquebooks.com/first-edition-books/native/
Insectivorous Plants,Charles Darwin,£365.00,https://rareandantiquebooks.com/first-edition-books/insectivorous-plants/
To Kill a Mockingbird,Harper Lee,£575.00,https://rareandantiquebooks.com/first-edition-books/mockingbird-lee/
Sylvie and Bruno Concluded,L. Carroll,"£2,050.00",https://rareandantiquebooks.com/first-edition-books/bruno-concluded/
The Labour of Hercules,Agatha Christie,£390.00,https://rareandantiquebooks.com/first-edition-books/labour-hercules-christie/
They Came to Baghdad,Agatha Christie,£265.00,https://rareandantiquebooks.com/first-edition-books/baghdad-christie/
