Book Name,Book Author,Price,URL
"De bello Peloponnesiaco, in Greek.",THUCYDIDES.,"£35,000.00",https://www.peterharrington.co.uk/de-bello-peloponnesiaco-in-greek-103257.html
"The Life of Samuel Johnson,","BOSWELL, James.","£35,000.00",https://www.peterharrington.co.uk/the-life-of-samuel-johnson-122700.html
Pilote de guerre.,"SAINT-EXUPÉRY, Antoine de.","£35,000.00",https://www.peterharrington.co.uk/pilote-de-guerre-139246.html
The House at Pooh Corner.,"MILNE, A. A.","£35,000.00",https://www.peterharrington.co.uk/the-house-at-pooh-corner-160290.html
Album de Pernambuco.,"BRAZIL - CARLS, Francisco Henrique.","£35,000.00",https://www.peterharrington.co.uk/album-de-pernambuco-108232.html
"Vitae & rerum gestarum Timuri, qui vulgo Tamerlanes dicitur, Historia.",TIMUR; historically known as Tamerlane - AHMAD IBN 'ARABSHAH.,"£35,000.00",https://www.peterharrington.co.uk/vitae-rerum-gestarum-timuri-qui-vulgo-tamerlanes-dicitur-historia-154205.html
Coryats crudities:,"CORYATE, Thomas.","£32,500.00",https://www.peterharrington.co.uk/coryats-crudities-156273.html
A Treatise of Human Nature:,"HUME, David.","£32,500.00",https://www.peterharrington.co.uk/a-treatise-of-human-nature-165098.html
A Century of Birds from the Himalaya Mountains.,"GOULD, John.","£32,500.00",https://www.peterharrington.co.uk/a-century-of-birds-from-the-himalaya-mountains-134609.html
On Her Majesty's Secret Service.,"FLEMING, Ian.","£32,500.00",https://www.peterharrington.co.uk/on-her-majesty-s-secret-service-155930.html
Jardín de las nobles donzellas.,"MARTÍN DE CÓRDOBA, Fray.","£30,000.00",https://www.peterharrington.co.uk/jardin-de-las-nobles-donzellas-139886.html
Original first draft maquette for Cowboy Kate and Other Stories.,"HASKINS, Sam.","£30,000.00",https://www.peterharrington.co.uk/original-first-draft-maquette-for-cowboy-kate-and-other-stories-149675.html
The Fortunate Mistress:,"DEFOE, Daniel.","£30,000.00",
Memorial of the Government of Saudi Arabia.,"'AZZAM, Abd el-Rahman (ed.).","£30,000.00",https://www.peterharrington.co.uk/memorial-of-the-government-of-saudi-arabia-159312.html
Guys and Dolls.,"RUNYON, Damon.","£30,000.00",https://www.peterharrington.co.uk/guys-and-dolls.html
Die unbesungenen Helden.,"SCHINDLER, Oskar - GROSSMANN, Kurt R (ed.).","£30,000.00",https://www.peterharrington.co.uk/die-unbesungenen-helden-135953.html
